matched_city, latitude, longitude, n_tweets 
east side, 41.061561, -75.769531, 2 
spokane, 47.65726, -117.412279, 4 
denton, 31.722065, -82.697944, 3 
memphis, 35.047089, -90.023933, 3 
oxnard, 34.20034, -119.180439, 2 
detroit, 42.356121, -83.06459, 7 
dublin, 40.10497, -83.133089, 1 
northumberland, 40.888085, -76.796604, 1 
lorain, 41.4682, -82.178149, 2 
indianapolis, 39.76691, -86.149964, 9 
new haven, 41.30713, -72.924979, 2 
oklahoma city, 35.398121, -97.597359, 6 
gilbert, 33.329042, -111.789767, 1 
rockville, 39.081665, -77.15124, 1 
cleveland, 35.160185, -84.875324, 6 
fort lauderdale, 26.12367, -80.143564, 2 
youngstown, 41.0981, -80.650789, 1 
norman, 35.22076, -97.446599, 3 
meridian, 32.365085, -88.703079, 1 
bakersfield, 35.36697, -119.018863, 2 
erie, 42.129445, -80.085239, 1 
salt lake city, 40.78619, -111.982079, 2 
edmond, 35.654905, -97.478129, 1 
fulton, 34.273585, -88.408584, 1 
columbus, 39.96196, -83.002984, 8 
smyrna, 35.974664, -86.512133, 1 
joplin, 37.084761, -94.513469, 2 
las cruces, 32.3069, -106.777849, 1 
inglewood, 33.96178, -118.356226, 3 
denver, 39.74001, -104.992259, 12 
fresno, 36.740685, -119.785734, 2 
lawton, 34.605185, -98.389919, 2 
brownsville, 25.899585, -97.495529, 2 
toledo, 41.65381, -83.536259, 3 
rialto, 34.099655, -117.372829, 1 
nashville, 36.164619, -86.83123, 10 
dickinson, 46.87901, -102.790589, 1 
waynesboro, 39.7562, -77.578539, 1 
prince george, 37.220435, -77.287616, 1 
naperville, 41.770535, -88.153019, 1 
federal way, 47.3008, -122.329464, 1 
prattville, 32.461855, -86.450749, 1 
litchfield, 44.21674, -69.931351, 1 
henderson, 36.03082, -114.981094, 2 
tampa, 28.064381, -82.41407, 6 
traverse city, 44.759995, -85.615839, 2 
fargo, 46.87591, -96.781764, 2 
south bend, 41.679058, -86.254044, 2 
santa monica, 34.011565, -118.492289, 1 
yakima, 46.604135, -120.507049, 1 
folsom, 38.68155, -121.163264, 1 
lincoln, 38.89116, -121.292809, 2 
san marcos, 29.885099, -97.930779, 1 
mt pleasant, 32.801285, -79.889449, 2 
madison, 43.07295, -89.386694, 2 
lake charles, 30.224033, -93.220111, 1 
aurora, 39.70871, -104.812652, 1 
arlington, 38.89051, -77.086294, 3 
shawnee, 35.331985, -96.924804, 1 
gotham, 43.22326, -90.293474, 1 
hanover, 39.800745, -76.982864, 1 
garland, 32.913865, -96.636554, 1 
fontana, 34.10205, -117.435759, 1 
kingston, 35.872216, -84.516176, 1 
stone mountain, 33.803855, -84.169982, 1 
monroe, 41.334161, -73.206135, 1 
knoxville, 35.960495, -83.920914, 4 
crystal lake, 42.245217, -88.323984, 1 
north east, 39.59891, -75.942444, 1 
kenosha, 42.588075, -87.823654, 2 
punta gorda, 26.93295, -82.052889, 1 
stockbridge, 33.543789, -84.227709, 1 
lafayette, 30.220325, -92.017054, 2 
dearborn heights, 42.33056, -83.277479, 1 
milwaukee, 43.038349, -87.927528, 2 
lawrence, 38.957439, -95.245651, 3 
chesapeake, 36.714295, -76.247847, 2 
birmingham, 33.520295, -86.811504, 3 
pasadena, 34.147235, -118.144264, 4 
mesquite, 36.80393, -114.067219, 1 
chocowinity, 35.512989, -77.099948, 1 
decatur, 39.845845, -88.952459, 1 
brandon, 27.94017, -82.325474, 1 
orland park, 41.617285, -87.853469, 1 
hagerstown, 39.6425, -77.717579, 1 
johns creek, 34.02356, -84.189299, 1 
rochester, 43.1555, -77.616033, 3 
santa clara, 37.355509, -121.954262, 1 
san antonio, 29.42449, -98.494619, 7 
ithaca, 42.440495, -76.495454, 1 
kansas city, 39.10296, -94.583062, 3 
gonzales, 29.59886, -97.34375, 1 
york, 39.964535, -76.724289, 1 
davis, 38.546699, -121.744576, 1 
charleston, 32.78115, -79.931604, 2 
worcester, 42.263415, -71.802189, 1 
paradise, 39.74975, -121.607724, 3 
salem, 32.59668, -85.238356, 1 
norristown, 40.114455, -75.339304, 1 
bronx, 40.825745, -73.923249, 7 
buffalo, 42.88544, -78.878464, 4 
westland, 42.3242, -83.401369, 1 
alexandria, 38.804605, -77.043414, 2 
anderson, 34.50044, -82.649579, 1 
portsmouth, 36.832642, -76.297715, 1 
somerville, 42.386675, -71.098264, 3 
long beach, 33.766725, -118.192399, 6 
dodge city, 37.752644, -100.018695, 1 
corona, 33.877895, -117.575039, 1 
pembroke, 34.679251, -79.193043, 1 
ocean springs, 30.41628, -88.808139, 1 
blacksburg, 37.229408, -80.413841, 1 
sussex, 41.20957, -74.607729, 1 
palm bay, 27.999545, -80.672634, 1 
albuquerque, 35.049492, -106.625122, 5 
cadiz, 39.951095, -85.486279, 1 
wentzville, 38.811545, -90.853949, 1 
oxford, 33.613075, -85.835699, 1 
gardena, 33.88379, -118.307504, 1 
walnut creek, 37.920319, -122.08149, 1 
orange, 33.787865, -117.850399, 1 
cupertino, 37.31884, -122.029244, 1 
easton, 40.691195, -75.209829, 1 
murfreesboro, 35.8444, -86.394339, 1 
auburn, 32.607465, -85.481735, 1 
eugene, 44.04992, -123.088544, 1 
newington, 41.695379, -72.720656, 1 
greensboro, 36.068994, -79.794704, 3 
navarre, 30.401595, -86.864734, 1 
baton rouge, 30.443345, -91.186994, 3 
altamonte springs, 28.66591, -81.359764, 1 
jupiter, 26.931985, -80.101914, 3 
longview, 46.146817, -122.950544, 1 
scottsdale, 33.494, -111.920694, 3 
cedar rapids, 41.976345, -91.673759, 2 
winter park, 28.594574, -81.350716, 1 
reston, 38.959374, -77.354571, 1 
port charlotte, 26.98288, -82.100834, 1 
stockton, 37.95368, -121.290754, 1 
el paso, 31.759165, -106.487494, 1 
texas city, 29.392765, -94.925069, 1 
clearwater, 27.965585, -82.799754, 1 
edina, 44.911632, -93.348227, 1 
weatherford, 32.759005, -97.800779, 1 
buckeye, 33.37046, -112.590104, 1 
fairfield, 41.165815, -73.229624, 1 
burlingame, 37.580157, -122.350436, 1 
west jordan, 40.60675, -111.938754, 1 
cary, 35.78933, -78.781169, 1 
parma, 41.383715, -81.734649, 1 
vista, 33.20204, -117.233962, 1 
greenfield, 39.78477, -85.769269, 1 
johnson city, 36.320088, -82.345284, 2 
el reno, 35.533645, -97.956044, 1 
iowa city, 41.657825, -91.526534, 2 
riverside, 33.98163, -117.373879, 1 
snohomish, 47.9124, -122.093064, 1 
akron, 41.084195, -81.514059, 2 
fort wayne, 41.08026, -85.138314, 1 
gainesville, 29.647449, -82.339394, 3 
st paul, 44.943829, -93.093326, 2 
kearney, 40.70047, -99.083689, 1 
indiana, 40.622905, -79.150149, 1 
cedar city, 37.67795, -113.061764, 1 
kirkland, 47.678855, -122.207244, 1 
eden prairie, 44.858665, -93.460134, 1 
el dorado hills, 38.677049, -121.07781, 1 
savannah, 32.08078, -81.090719, 1 
visalia, 36.33377, -119.292914, 1 
austell, 33.813653, -84.63405, 2 
rock island, 41.511575, -90.576044, 1 
secaucus, 40.78828, -74.054964, 1 
cambridge, 44.572195, -116.676054, 2 
killeen, 31.12258, -97.79567, 1 
mckinney, 33.19895, -96.614994, 1 
homestead, 25.47623, -80.465659, 1 
ann arbor, 42.281875, -83.748479, 2 
reno, 39.527385, -119.813439, 2 
opelika, 32.6505, -85.380649, 1 
fayetteville, 35.054495, -78.877579, 1 
kalamazoo, 42.285789, -85.613113, 1 
tallahassee, 30.426229, -84.281914, 1 
clarksville, 36.530755, -87.359769, 1 
warrenton, 38.713625, -77.795509, 1 
howell, 40.154665, -74.230729, 1 
chesterfield, 37.376844, -77.508252, 1 
chapel hill, 35.914771, -79.056701, 1 
north richland hills, 32.838431, -97.2266, 1 
logan, 41.736185, -111.834849, 1 
